sample_id,predicted_label,detection_confidence,repair_action,original_comment,repaired_comment,repair_status,reason_short,route_to,model_source
1,Task,0.95,Remove,TODO Tracked in https://github.com/ankidroid/Anki-Android/issues/5019,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
2,Not a smell,0.95,No Change,Only enable AnkiDroid notifications unrelated to due reminders,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
3,Beautification,0.9,Remove,Other variables,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
4,Beautification,0.95,Remove,---------------------------------------------------------------------------- Overridden methods ----------------------------------------------------------------------------,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
5,Obvious,0.95,Remove,Add a home button to the actionbar,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
6,Not a smell,0.95,No Change,"onRestoreInstanceState takes priority, this is only set on init.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
7,Not a smell,0.95,No Change,"If the collection path has changed, we want to move back to the deck picker immediately This performs the move when back is pressed on the ""Advanced"" screen",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
8,Not a smell,0.95,No Change,PERF: DB access on foreground thread,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
9,Beautification,0.95,Remove,---------------------------------------------------------------------------- Class methods ----------------------------------------------------------------------------,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
10,Not a smell,0.6,No Change,Build languages,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
11,Not a smell,0.95,No Change,Show error toast if the user tries to disable answer button without gestures on,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
12,Not a smell,0.95,No Change,Custom buttons options,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
13,Misleading,0.9,Rewrite,Reset toolbar button customizations,Reset custom buttons,repaired,"The original comment mentions 'toolbar button', but the preference key 'reset_custom_buttons' refers to custom buttons in general, so it was misleading.",evaluation,deepseek-v3
14,Commented out code,0.6375,Remove,finish();,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
15,Task,0.95,Remove,TODO: Should reload the preferences screen on completion,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
16,Not a smell,0.95,No Change,Check that input is valid before committing change in the collection path,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
17,Not a smell,0.95,No Change,Custom sync server option,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
18,Not a smell,0.98,No Change,Advanced statistics option,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
19,Not a smell,0.95,No Change,"Make it possible to test crash reporting, but only for DEBUG builds",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
20,Not a smell,0.95,No Change,"Make it possible to test analytics, but only for DEBUG builds",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
21,Not a smell,0.95,No Change,Adding change logs in both debug and release builds,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
22,Not a smell,0.675,No Change,Force full sync option,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
23,Vague,0.85,Rewrite,Workaround preferences,Workaround: clean up advanced prefs and add third-party listener,repaired,Rewrote vague 'Workaround preferences' into a clear description of the two operations.,evaluation,deepseek-v3
24,Nonlocal info,0.7125,Move,FIXME: The menu is named in the system language (as it's defined in the manifest which may be different than the app language,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
25,Not a smell,0.95,No Change,"Note: The below format strings are generic, not card browser specific despite the name",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
26,Task,0.95,Remove,DEFECT #5973: Does not handle Google Drive downloads,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
27,Obvious,0.9,Remove,file size in MB,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
28,Obvious,0.95,Rewrite,Image size less than 10 MB copied to AnkiDroid folder,"If image size < 10 MB, copy to destination; else uncheck and show error.",repaired,Original comment only described the true branch and was obvious; rewrite covers both branches accurately.,evaluation,deepseek-v3
29,Not a smell,0.95,No Change,#5864 - some people don't have a browser so we can't use <intent> and need to handle the keypress ourself.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
30,Not a smell,0.95,No Change,We use a different message here. We have limited space in the snackbar,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
31,Not a smell,0.95,No Change,Load stored values from Preferences which are stored in the Collection,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
32,Not a smell,0.95,No Change,Disable Col preferences if Collection closed,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
33,Obvious,0.95,Remove,Set the value from the summary cache,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
34,Obvious,0.95,Remove,Update summary,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
35,Nonlocal info,0.7125,Move,Tracked as #5019 on github - convert to fragments,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
36,Vague,0.92,Rewrite,Handle special cases,Handle custom media sync URL preference.,repaired,Original comment 'Handle special cases' is vague; rewritten to specify the actual case handled.,evaluation,deepseek-v3
37,Not a smell,0.95,No Change,"This may be a tad hasty - performed before ""back"" is pressed.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
38,Not a smell,0.95,No Change,"If the user changed error reporting, make sure future reports have a chance to post",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
39,Not a smell,0.95,No Change,We also need to re-chain our UncaughtExceptionHandlers,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
40,Vague,0.75,Rewrite,northing to do?,Nothing to do.,repaired,Fixed typo and clarified vague comment.,evaluation,deepseek-v3
41,Not a smell,0.95,No Change,Going back to V1,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
42,Not a smell,0.95,No Change,This should never be reached as we explicitly called modSchemaNoCheck(),,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
43,Not a smell,0.95,No Change,Going to V2,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
44,Not a smell,0.95,No Change,Update the summary text to reflect new value,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
45,Vague,0.9,Rewrite,Get value text,Stores the value text.,repaired,Original comment was vague; rewritten to clearly describe the variable's purpose.,evaluation,deepseek-v3
46,Obvious,0.95,Remove,Get summary text,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
47,Vague,0.85,Rewrite,Replace summary text with value according to some rules,"Update summary: set to value, restore old, apply numeric replacement, then plain replacement.",repaired,Replaced vague 'according to some rules' with explicit sequence of operations.,evaluation,deepseek-v3
48,Obvious,0.95,Rewrite,Disable the emoji/kana buttons to scroll preference if those keys don't exist,Remove emoji/kana scrolling preference if keys are not available.,repaired,"Clarified that the preference is removed, not disabled, and kept faithful to code logic.",evaluation,deepseek-v3
49,Not a smell,0.95,No Change,Disable the double scroll preference if no scrolling keys,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
50,Beautification,0.95,Remove,---------------------------------------------------------------------------- Inner classes ----------------------------------------------------------------------------,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
51,Irrelevant,0.95,Remove,Tracked as #5019 on github,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
52,Not a smell,0.95,No Change,"syncAccount's summary can change while preferences are still open (user logs in from preferences screen), so we need to update it here.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
53,Task,0.85,Remove,needs a URI instance,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
54,Not a smell,0.95,No Change,"#7748: Query can fail on some phones, so fall back to MIME values obtained via: content://com.google.android.inputmethod.latin.fileprovider/content/tenor_gif/tenor_gif187746302992141903.gif",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
55,Not a smell,0.95,No Change,required for Robolectric,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
56,Not a smell,0.92,No Change,"maybe we could do better here, but general guidance is to not parse the uri string",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
57,Not a smell,0.95,No Change,card that was clicked (not marked),,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
58,Task,0.85,Remove,DEFECT: Doesn't need to be a local,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
59,Not a smell,0.95,No Change,if reloadRequired or noteChanged flag was sent from note editor then reload card list,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
60,Vague,0.85,Rewrite,in use by reviewer?,Reload required if card matches reviewer's current card.,repaired,Clarified vague question into a conditional statement explaining the reload condition.,evaluation,deepseek-v3
61,Vague,0.9,Rewrite,maybe the availability of undo changed,Invalidate options menu because undo availability may have changed.,repaired,Rewrote vague speculation into a clear reason for calling invalidateOptionsMenu.,evaluation,deepseek-v3
62,Not a smell,0.95,No Change,"Previewing can now perform an ""edit"", so it can pass on a reloadRequired",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
63,Nonlocal info,0.85,Move,Should match order of R.array.card_browser_order_labels,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
64,Not a smell,0.765,No Change,list of available keys in mCards corresponding to the column names in R.array.browser_column2_headings. Note: the last 6 are currently hidden,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
65,Not a smell,0.95,No Change,Values related to persistent state data,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
66,Not a smell,0.95,No Change,"if the sort value in the card browser was changed, then perform a new search",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
67,Not a smell,0.95,No Change,"if the same element is selected again, reverse the order",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
68,Not a smell,0.95,No Change,To update the collection,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
69,Not a smell,0.95,No Change,The noteId is not currently available. Only allow if a single card is selected for now.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
70,Nonlocal info,0.9,Move,#5932 - can't be dynamic,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
71,Obvious,0.95,Remove,Load reference to action bar title,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
