sample_id,is_smelly,label,confidence,top1_label,top1_score,top2_label,top2_score,reason_short,action_hint,route_to,second_check_used,review_reason,model_source
1,True,Nonlocal info,0.7125,Nonlocal info,0.7125,Not a smell,0.2875,TODO comment referencing external issue tracker.,move,repair,True,not_smell_vs_nonlocal,deepseek-v3
2,False,Not a smell,0.92,Not a smell,0.92,Nonlocal info,0.08,"Comment clarifies intent of constant, enhances comprehension.",no_change,evaluation,False,,deepseek-v3
3,True,Beautification,0.95,Beautification,0.95,Not a smell,0.05,Section header with no behavioral content; pure visual separator.,remove,repair,False,,deepseek-v3
4,True,Beautification,0.95,Beautification,0.95,Not a smell,0.05,Section header separating overridden methods; no semantic content.,remove,repair,False,,deepseek-v3
5,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates visible local code action.,remove,repair,False,,deepseek-v3
6,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains priority and initialization context.,no_change,evaluation,False,,deepseek-v3
7,False,Not a smell,0.95,Not a smell,0.95,Vague,0.05,Provides specific condition and rationale for back press behavior.,no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
8,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Highlights performance risk of DB access on UI thread, adding valuable context.",no_change,evaluation,False,,deepseek-v3
9,True,Beautification,0.95,Beautification,0.95,Not a smell,0.05,Section header comment for visual separation.,remove,repair,False,,deepseek-v3
10,True,Obvious,0.85,Obvious,0.85,Vague,0.15,Merely restates the method call without adding new information.,remove,repair,True,borderline_label_low_confidence,deepseek-v3
11,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Helps understand purpose of the code block.,no_change,evaluation,False,,deepseek-v3
12,True,Beautification,0.9,Beautification,0.9,Not a smell,0.1,Section header labeling block with no behavioral content.,remove,repair,True,low_confidence,deepseek-v3
13,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides clear intent for code block.,no_change,evaluation,False,,deepseek-v3
14,True,Commented out code,0.95,Commented out code,0.95,Task,0.03,Commented out code that disables the finish() call.,remove,repair,False,,deepseek-v3
15,True,Task,0.95,Task,0.95,Not a smell,0.05,TODO comment indicating future task to reload preferences screen.,remove,repair,False,,deepseek-v3
16,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Useful explanation of input validation logic.,no_change,evaluation,False,,deepseek-v3
17,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides clear context for the code block.,no_change,evaluation,False,,deepseek-v3
18,True,Obvious,0.95,Obvious,0.95,Beautification,0.03,Comment merely restates obvious purpose from identifier and code context.,remove,repair,False,,deepseek-v3
19,False,Not a smell,0.95,Not a smell,0.95,Misleading,0.01,Adds clear rationale and condition for debug-only crash testing.,no_change,evaluation,False,,deepseek-v3
20,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains purpose and condition for debug-only analytics testing.,no_change,evaluation,False,,deepseek-v3
21,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.1,Adds rationale for unconditional changelog addition across builds.,no_change,evaluation,False,,deepseek-v3
22,False,Not a smell,0.8075,Not a smell,0.8075,Obvious,0.1925,"Comment labels purpose of code block, providing intent and aiding comprehension.",no_change,evaluation,True,signal_conflict,deepseek-v3
23,True,Vague,0.9,Vague,0.9,Not a smell,0.1,Very generic fragment does not explain why or what workaround is for.,rewrite,repair,False,,deepseek-v3
24,True,Task,0.95,Task,0.95,Not a smell,0.05,FIXME indicating future fix for language mismatch,remove,repair,False,,deepseek-v3
25,False,Not a smell,0.95,Not a smell,0.95,Vague,0.05,"Clarifies that format strings are generic despite naming, providing specific intent.",no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
26,True,Task,0.9,Task,0.9,Not a smell,0.1,Indicates known defect for Google Drive downloads.,remove,repair,False,,deepseek-v3
27,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment simply restates the subsequent line's purpose; no added rationale.,remove,repair,False,,deepseek-v3
28,True,Obvious,0.92,Obvious,0.92,Not a smell,0.08,"Comment merely restates the conditional copy action, adding no new information.",remove,repair,False,,deepseek-v3
29,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Explains rationale for design choice, helpful context.",no_change,evaluation,False,,deepseek-v3
30,False,Not a smell,0.96,Not a smell,0.96,Too much info,0.02,Explains different error message due to limited snackbar space.,no_change,evaluation,False,,deepseek-v3
31,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains purpose of loading preferences from collection.,no_change,evaluation,False,,deepseek-v3
32,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains disabling preferences when Collection closed.,no_change,evaluation,False,,deepseek-v3
33,True,Obvious,0.92,Obvious,0.92,Not a smell,0.08,Comment merely restates the code action without adding rationale or context.,remove,repair,False,,deepseek-v3
34,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the local method call 'updateSummary(pref)' with no added meaning.,remove,repair,False,,deepseek-v3
35,True,Nonlocal info,0.675,Nonlocal info,0.675,Not a smell,0.325,Refers to external GitHub issue for future conversion task.,move,repair,True,not_smell_vs_nonlocal,deepseek-v3
36,True,Vague,0.9,Vague,0.9,Not a smell,0.1,Generic comment; doesn't explain which cases are special or how they are handled.,rewrite,repair,False,,deepseek-v3
37,False,Not a smell,0.95,Not a smell,0.95,Too much info,0.05,Adds context about timing before user action.,no_change,evaluation,False,,deepseek-v3
38,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains rationale for deleteACRALimiterData call.,no_change,evaluation,False,,deepseek-v3
39,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains non-obvious side effect of reInitialize call.,no_change,evaluation,False,,deepseek-v3
40,True,Vague,0.8,Vague,0.8,Not a smell,0.2,Misspelled question does not specify what 'nothing to do' means; lacks clear intent or effect.,rewrite,repair,True,low_confidence;borderline_label_low_confidence,deepseek-v3
41,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains intent of switching scheduler version.,no_change,evaluation,False,,deepseek-v3
42,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Provides rationale for unexpected exception, clarifying code intent.",no_change,evaluation,False,,deepseek-v3
43,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Comment clearly states purpose of code block: scheduler version upgrade to V2.,no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
44,False,Not a smell,0.6,Not a smell,0.6,Obvious,0.4,"Comment provides purpose ('to reflect new value'), not just restatement.",no_change,evaluation,True,borderline_label_low_confidence,deepseek-v3
45,True,Obvious,0.98,Obvious,0.98,Not a smell,0.02,Merely restates the code action without adding rationale.,remove,repair,False,,deepseek-v3
46,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Simply restates code action; no added context.,remove,repair,False,,deepseek-v3
47,True,Vague,0.85,Vague,0.85,Not a smell,0.15,"Comment is too generic; it mentions 'some rules' without specifying them, leaving the reader to infer from code.",rewrite,repair,True,borderline_label_low_confidence,deepseek-v3
48,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Adds rationale for conditional removal; not obvious.,no_change,evaluation,False,,deepseek-v3
49,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates the conditional removal action without adding insight.,remove,repair,False,,deepseek-v3
50,True,Beautification,0.95,Beautification,0.95,Not a smell,0.05,Section header separating inner classes section.,remove,repair,False,,deepseek-v3
51,True,Nonlocal info,0.5737,Nonlocal info,0.5737,Not a smell,0.4263,"Comment references external GitHub issue, not explaining local code.",move,repair,True,signal_conflict;not_smell_vs_nonlocal;borderline_label_low_confidence,deepseek-v3
52,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains rationale for updating preferences.,no_change,evaluation,False,,deepseek-v3
53,True,Vague,0.9,Vague,0.9,Not a smell,0.1,Comment does not specify what needs a URI instance; missing specific referent.,rewrite,repair,True,borderline_label_low_confidence,deepseek-v3
54,False,Not a smell,0.9,Not a smell,0.9,Too much info,0.1,Provides rationale for fallback due to a known issue with example URI.,no_change,evaluation,False,,deepseek-v3
55,False,Not a smell,0.8075,Not a smell,0.8075,Obvious,0.1925,Explains test dependency on Robolectric as local setup intent.,no_change,evaluation,True,signal_conflict;not_smell_vs_nonlocal,deepseek-v3
56,False,Not a smell,0.95,Not a smell,0.95,Vague,0.05,"Provides specific rationale and constraint about not parsing URI, with clear referent.",no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
57,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Clarifies that mCurrentCardId is the clicked card, not the marked one.",no_change,evaluation,False,,deepseek-v3
58,True,Task,0.9,Task,0.9,Not a smell,0.1,Points out a defect to be addressed.,remove,repair,False,,deepseek-v3
59,True,Obvious,0.92,Obvious,0.92,Not a smell,0.08,Restates conditional and action without added rationale or context.,remove,repair,False,,deepseek-v3
60,True,Vague,0.7,Vague,0.8,Task,0.15,Fragmentary question comment lacks clear purpose or effect explanation.,rewrite,repair,True,low_confidence;borderline_label_low_confidence,deepseek-v3
61,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Clarifies why invalidateOptionsMenu is called after activity result.,no_change,evaluation,False,,deepseek-v3
62,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.03,"Explains why previewing can pass reloadRequired, aiding comprehension.",no_change,evaluation,False,,deepseek-v3
63,True,Nonlocal info,0.95,Nonlocal info,0.95,Not a smell,0.05,"Comment references external array resource, imposing ordering constraint from external configuration.",move,repair,True,not_smell_vs_nonlocal,deepseek-v3
64,False,Not a smell,0.8075,Not a smell,0.8075,Obvious,0.1925,"Explains mapping to resource array and hidden columns, adds context.",no_change,evaluation,True,signal_conflict;not_smell_vs_nonlocal,deepseek-v3
65,False,Not a smell,0.68,Not a smell,0.68,Obvious,0.32,"Comment groups fields and indicates purpose (persistent state data), providing useful organizational context beyond mere visual separation.",no_change,evaluation,True,low_confidence;signal_conflict;borderline_label_low_confidence,deepseek-v3
66,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Adds intent for performing new search when sort value changed.,no_change,evaluation,False,,deepseek-v3
67,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Comment clearly explains conditional logic, enhancing comprehension.",no_change,evaluation,False,,deepseek-v3
68,True,Vague,0.8,Vague,0.8,Not a smell,0.2,Generic phrase 'update the collection' lacks specific intent or effect.,rewrite,repair,True,low_confidence;borderline_label_low_confidence,deepseek-v3
69,False,Not a smell,0.9,Not a smell,0.9,Obvious,0.05,Explains rationale for limitation due to missing noteId.,no_change,evaluation,False,,deepseek-v3
70,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides rationale referencing issue #5932 for the dynamic check.,no_change,evaluation,False,,deepseek-v3
71,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Merely restates local code action without added intent or rationale.,remove,repair,False,,deepseek-v3
72,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains defensive upgrade for legacy compatibility.,no_change,evaluation,False,,deepseek-v3
73,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates obvious code action without added rationale.,remove,repair,False,,deepseek-v3
74,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains condition with mapping rationale.,no_change,evaluation,False,,deepseek-v3
75,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Comment merely restates empty method; adds no intent or rationale.,remove,repair,False,,deepseek-v3
76,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Restates code action without added rationale.,remove,repair,False,,deepseek-v3
77,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides user-centric rationale for spinner setup.,no_change,evaluation,False,,deepseek-v3
78,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains rationale for listener setup.,no_change,evaluation,False,,deepseek-v3
79,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Simply restates the obvious getter calls.,remove,repair,False,,deepseek-v3
