sample_id,predicted_label,detection_confidence,repair_action,original_comment,repaired_comment,repair_status,reason_short,route_to,model_source
1,Nonlocal info,0.7125,Move,TODO Tracked in https://github.com/ankidroid/Anki-Android/issues/5019,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
2,Not a smell,0.92,No Change,Only enable AnkiDroid notifications unrelated to due reminders,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
3,Beautification,0.95,Remove,Other variables,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
4,Beautification,0.95,Remove,---------------------------------------------------------------------------- Overridden methods ----------------------------------------------------------------------------,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
5,Obvious,0.95,Remove,Add a home button to the actionbar,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
6,Not a smell,0.95,No Change,"onRestoreInstanceState takes priority, this is only set on init.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
7,Not a smell,0.95,No Change,"If the collection path has changed, we want to move back to the deck picker immediately This performs the move when back is pressed on the ""Advanced"" screen",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
8,Not a smell,0.95,No Change,PERF: DB access on foreground thread,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
9,Beautification,0.95,Remove,---------------------------------------------------------------------------- Class methods ----------------------------------------------------------------------------,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
10,Obvious,0.85,Rewrite,Build languages,Initialize language preference dialog,repaired,Clarified that the comment refers to setting up the language selection dialog for preferences.,evaluation,deepseek-v3
11,Not a smell,0.95,No Change,Show error toast if the user tries to disable answer button without gestures on,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
12,Beautification,0.9,Remove,Custom buttons options,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
13,Not a smell,0.95,No Change,Reset toolbar button customizations,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
14,Commented out code,0.95,Remove,finish();,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
15,Task,0.95,Remove,TODO: Should reload the preferences screen on completion,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
16,Not a smell,0.95,No Change,Check that input is valid before committing change in the collection path,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
17,Not a smell,0.95,No Change,Custom sync server option,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
18,Obvious,0.95,Remove,Advanced statistics option,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
19,Not a smell,0.95,No Change,"Make it possible to test crash reporting, but only for DEBUG builds",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
20,Not a smell,0.95,No Change,"Make it possible to test analytics, but only for DEBUG builds",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
21,Not a smell,0.9,No Change,Adding change logs in both debug and release builds,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
22,Not a smell,0.8075,No Change,Force full sync option,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
23,Vague,0.9,Rewrite,Workaround preferences,Apply workarounds: remove unnecessary advanced prefs and add third-party apps listener.,repaired,Replaced vague 'Workaround preferences' with a clear description of the two specific actions performed.,evaluation,deepseek-v3
24,Task,0.95,Remove,FIXME: The menu is named in the system language (as it's defined in the manifest which may be different than the app language,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
25,Not a smell,0.95,No Change,"Note: The below format strings are generic, not card browser specific despite the name",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
26,Task,0.9,Remove,DEFECT #5973: Does not handle Google Drive downloads,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
27,Obvious,0.95,Remove,file size in MB,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
28,Obvious,0.92,Rewrite,Image size less than 10 MB copied to AnkiDroid folder,"If image size is less than 10 MB, copy it to the AnkiDroid folder.",repaired,Rewrote obvious comment to clearly state the condition and action without restating code literally.,evaluation,deepseek-v3
29,Not a smell,0.95,No Change,#5864 - some people don't have a browser so we can't use <intent> and need to handle the keypress ourself.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
30,Not a smell,0.96,No Change,We use a different message here. We have limited space in the snackbar,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
31,Not a smell,0.95,No Change,Load stored values from Preferences which are stored in the Collection,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
32,Not a smell,0.95,No Change,Disable Col preferences if Collection closed,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
33,Obvious,0.92,Remove,Set the value from the summary cache,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
34,Obvious,0.95,Remove,Update summary,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
35,Nonlocal info,0.675,Move,Tracked as #5019 on github - convert to fragments,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
