sample_id,is_smelly,label,confidence,top1_label,top1_score,top2_label,top2_score,reason_short,action_hint,route_to,second_check_used,review_reason,model_source
1,True,Task,0.95,Task,0.95,Nonlocal info,0.05,"TODO with external issue link, indicating future task without local explanation.",remove,repair,False,,deepseek-v3
2,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Provides useful context for constant.,no_change,evaluation,False,,deepseek-v3
3,True,Beautification,0.9,Beautification,0.9,Vague,0.1,Comment is a section header for grouping variables.,remove,repair,False,,deepseek-v3
4,True,Beautification,0.95,Beautification,0.95,Not a smell,0.05,Pure section header with dashes serving as visual separator.,remove,repair,False,,deepseek-v3
5,True,Obvious,0.95,Obvious,0.95,Not a smell,0.05,Merely restates the method call without added context.,remove,repair,False,,deepseek-v3
6,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Provides rationale for conditional assignment, clarifying priority and init scope.",no_change,evaluation,False,,deepseek-v3
7,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Comment adds rationale and context for conditional back behavior.,no_change,evaluation,False,,deepseek-v3
8,False,Not a smell,0.95,Not a smell,0.95,Task,0.05,"Highlights performance concern about DB access on UI thread, adding valuable context.",no_change,evaluation,False,,deepseek-v3
9,True,Beautification,0.95,Beautification,0.95,Obvious,0.05,Section header with no semantic content.,remove,repair,False,,deepseek-v3
10,False,Not a smell,0.6,Not a smell,0.9,Vague,0.7,Comment provides intent not fully obvious from code; stage1's high confidence prevails.,no_change,evaluation,True,low_confidence;borderline_label_low_confidence,deepseek-v3
11,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Comment explains conditional behavior clearly.,no_change,evaluation,False,,deepseek-v3
12,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Adds brief purpose for preference, not restating code.",no_change,evaluation,False,,deepseek-v3
13,True,Misleading,0.9,Misleading,0.9,Not a smell,0.1,Comment says reset but code only finds preference; conflicts with code semantics.,rewrite,repair,False,,deepseek-v3
14,True,Commented out code,0.6375,Commented out code,0.85,Obvious,0.1,"Comment consists of a line of code that is commented out without explanation, adding no value or insight.",remove,repair,True,low_confidence;borderline_label_low_confidence,deepseek-v3
15,True,Task,0.95,Task,0.95,Not a smell,0.05,TODO task: reload preferences screen on completion.,remove,repair,False,,deepseek-v3
16,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains the purpose of the listener.,no_change,evaluation,False,,deepseek-v3
17,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,"Comment provides a specific object and purpose, not vague.",no_change,evaluation,True,not_smell_vs_vague_risk,deepseek-v3
18,False,Not a smell,0.98,Not a smell,0.98,Obvious,0.02,Clarifies purpose of preference variable.,no_change,evaluation,False,,deepseek-v3
19,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.05,Explains condition purpose for debugging.,no_change,evaluation,False,,deepseek-v3
20,False,Not a smell,0.95,Not a smell,0.95,Irrelevant,0.05,Explains purpose of debug conditional for testing analytics.,no_change,evaluation,False,,deepseek-v3
21,False,Not a smell,0.95,Not a smell,0.95,Obvious,0.03,Explains that changelog is added for both debug and release builds.,no_change,evaluation,False,,deepseek-v3
22,False,Not a smell,0.675,Not a smell,0.675,Obvious,0.325,"Comment provides the purpose of the preference, not a pure restatement.",no_change,evaluation,True,borderline_label_low_confidence,deepseek-v3
23,True,Vague,0.85,Vague,0.85,Not a smell,0.15,Comment is terse and lacks specific context; 'Workaround preferences' does not clearly explain the purpose or effect.,rewrite,repair,True,borderline_label_low_confidence,deepseek-v3
24,True,Nonlocal info,0.7125,Nonlocal info,0.95,Not a smell,0.05,"Explains system language difference due to manifest, an external config.",move,repair,True,not_smell_vs_nonlocal,deepseek-v3
